Price,Model,Mileage_km,Engine_cc,Vehicle_Age,Has_AC,Has_PowerSteering,Has_PowerMirror,Transmission_Manual,Fuel_Type_Electric,Fuel_Type_Gas,Fuel_Type_Hybrid,Fuel_Type_Petrol,Make_ford,Make_honda,Make_hyundai,Make_kia,Make_mazda,Make_mitsubishi,Make_nissan,Make_perodua,Make_suzuki,Make_toyota
3675000.0,Townace CR27,222.0,1970.0,32,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8650000.0,Axio NKE165,171430.0,1500.0,13,1,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
24200000.0,KDH 222R High Roof,150000.0,2500.0,8,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1150000.0,CORONA AT 140,120000.0,1850.0,39,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
11250000.0,Dolphin LH113,352345.0,2800.0,28,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4650000.0,Shell LH61V,132000.0,2660.0,37,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8800000.0,Axio 161,125000.0,1500.0,13,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
39500000.0,Land Cruiser Prado 150 TX 6 Forward,125000.0,2700.0,11,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
4375000.0,Corona Premio CT 210,315000.0,2000.0,29,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
875000.0,KE20,255577.0,1200.0,54,0,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
4000000.0,Dolphin 113,132000.0,2880.0,36,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6725000.0,DOLPHIN LH103,285000.0,2770.0,32,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
22000000.0,Kdh 221,200000.0,3000.0,13,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
685000.0,Corolla KE50,147789.0,1200.0,49,0,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
6500000.0,Corolla 141,180000.0,1600.0,18,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
36500000.0,Land Cruiser Sahara ZX V8,135000.0,4660.0,18,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
12900000.0,LH 162,210000.0,,24,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
26900000.0,Land Cruiser PRADO 150 TX,185000.0,2700.0,15,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
6765000.0,Vitz KSP130,115900.0,1000.0,11,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1325000.0,Corona 150,20000.0,2000.0,36,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3350000.0,LH51,5555.0,2450.0,38,0,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1680000.0,Corona At 170,198000.0,1500.0,35,0,1,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
3100000.0,Ce 108 Elephant Back,111.0,2000.0,29,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
13700000.0,LH 162 Super GL,198000.0,,25,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8290000.0,Dolphin 119,132000.0,2990.0,25,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5950000.0,HIACE DOLPHIN LH162,110000.0,2700.0,24,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8650000.0,Premio 260,150000.0,1500.0,19,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
6600000.0,Allion 240,200000.0,1500.0,23,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
780000.0,B310,132000.0,1200.0,44,0,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
965000.0,Carina AT 150,145236.0,1450.0,41,1,1,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
8575000.0,Dolphin 123,132000.0,3000.0,33,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
105500000.0,LC300 ZX,95.0,3340.0,3,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7400000.0,Allion 240,191000.0,1500.0,20,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
3180000.0,Liteace CM36,145000.0,2000.0,30,0,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4075000.0,LH61 Dige,198632.0,1999.0,39,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
16400000.0,Dolphin LH172,259.0,2790.0,22,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
13250000.0,LH 172,439662.0,2980.0,27,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5380000.0,Townace Lotto CR27,200000.0,2000.0,30,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7200000.0,Premio 240,189000.0,1500.0,21,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
16750000.0,KDH Super GL 200,290000.0,2500.0,20,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3625000.0,Shell LH51,132000.0,2500.0,38,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10500000.0,Dolphin Lh 172,132000.0,1500.0,27,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3675000.0,Townace CR27,1.0,2000.0,34,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
16800000.0,Dolphin LH172,235000.0,2980.0,25,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
17500000.0,KDH 200,284566.0,2000.0,20,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6750000.0,ALLION 240,190.0,1500.0,21,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
6900000.0,Corolla 141,157000.0,1600.0,18,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
